ANYO,MES,SAC,PAIS,ADUANA,VIA,VALOR,PESO
2024,4,101210000,1005,2,2,7500,1500
2024,5,101210000,2101,29,1,4818,500
2024,5,101210000,2102,34,1,11583,3905
2024,6,101210000,2102,34,1,22547,9296
2024,1,101290000,1005,2,2,"6,000",1560
2024,2,101290000,2206,62,1,"1,502",1130
2024,2,101900000,2206,62,1,331,249
2024,2,102210000,2102,49,1,706,181
2024,1,102290000,1007,36,1,429268,143917
2024,2,102290000,1007,36,1,781978,263246
2024,2,102290000,2206,62,1,260,196
2024,3,102290000,1007,36,1,281782,94326
2024,4,102290000,1007,36,1,425038,142295
2024,5,102290000,1007,36,1,494625,166722
2024,6,102290000,1007,36,1,142052,47337
2024,1,105110000,2102,33,1,140591,8298
2024,1,105110000,2102,34,1,53105,3385
2024,2,105110000,2102,33,1,"157,989",9360
2024,2,105110000,2102,34,1,"109,714",6374
2024,3,105110000,2102,33,1,"196,641",11109
2024,3,105110000,2102,34,1,"153,707",8658
2024,4,105110000,2102,33,1,167101,9748
2024,4,105110000,2102,34,1,132856,7535
2024,5,105110000,2102,33,1,180201,9983
2024,5,105110000,2102,34,1,204153,13873
2024,6,105110000,2102,33,1,155415,8577
2024,6,105110000,2102,34,1,179519,11798
2024,2,106110000,5341,2,2,"3,150",192
2024,5,106190000,3101,2,2,100,108
2024,6,106190000,3101,2,2,100,110
2024,1,106390000,2104,107,1,"239,047",226405
2024,1,106390000,2102,33,1,1278,1592
2024,2,106390000,2104,107,1,"481,559",452810
2024,2,106390000,2102,33,1,"2,471",2826
2024,3,106390000,2104,107,1,"464,272",452810
2024,3,106390000,2102,33,1,1965,2045
2024,4,106390000,2104,107,1,754630,679215
2024,4,106390000,2102,33,1,2175,2639
2024,5,106390000,2102,33,1,627,747
2024,6,106390000,2102,33,1,3067,3273
2024,3,106490000,2102,49,1,316,4
2024,1,106900000,3201,2,2,50,63
2024,2,106900000,1005,2,2,50,49
2024,2,106900000,4132,2,2,50,13
2024,3,106900000,1003,2,2,50,20
2024,3,106900000,3503,2,2,100,51
2024,4,106900000,1005,2,2,150,76
2024,5,106900000,1005,2,2,200,207
2024,6,106900000,1005,2,2,50,17
2024,1,202200000,2102,34,1,225,48
2024,2,202200000,2102,34,1,302,51
2024,1,202300000,2102,33,1,3107,251
2024,1,202300000,2102,34,1,"513,754",83411
2024,2,202300000,2102,33,1,"3,259",451
2024,2,202300000,2102,34,1,"542,530",90140
2024,3,202300000,2102,33,1,"1,353",133
2024,3,202300000,2102,34,1,641129,105236
2024,4,202300000,2102,34,1,508479,83307
2024,5,202300000,2102,33,1,9004,2264
